Human Needs,Gospel Framing,Life Domain,Activity,Who (real person),Frustration / Delight,Job to be Done,Value Proposition,Frequency (1-5),Intensity (1-5),Willingness to Pay (1-5),Market Size (1-5),Personal Pain (0/1),Close Relationship (0/1),Moral Calling (0/1),Unique Insight or Skills (0/1),Data/API Access (0/1),Technology Readiness (0/1),No Hardware or Regulatory Blockers (0/1),Expands Agency (0/1),Supports Becoming (0/1),Deepens Connection (0/1)
Autonomy,Agency — control over your life and choices,Body,eating; sleeping; exercising; grooming; dressing; scheduling medical appointments; managing medications; recovering from illness,My mom,She forgets to take her blood pressure medication and it scares me,I'm trying to help my mom take her medication consistently so she can stay healthy,We help family caregivers monitor medication adherence by sending smart reminders and check-ins,,,,,,,,,,,,,,
Autonomy; Competence; Relatedness,Agency; Becoming; Connection,Mind,handling stress; processing emotions; practicing self-care; setting boundaries; finding support; seeking help; building resilience,,,,,,,,,,,,,,,,,,
Relatedness; Competence,Connection; Becoming,Spirit,fulfilling callings; attending church; studying scripture; praying; ministering; serving others; building community,,,,,,,,,,,,,,,,,,
Autonomy; Relatedness,Agency; Connection,Home,finding a place; signing a lease; moving; furnishing; cleaning; organizing; coordinating with roommates; fixing things; dealing with landlord,,,,,,,,,,,,,,,,,,
Autonomy,Agency — control over your life and choices,Money,tracking spending; paying bills; splitting costs; sending money; reducing debt; saving; investing; budgeting,,,,,,,,,,,,,,,,,,
Autonomy,Agency — control over your life and choices,Shopping,buying groceries; buying clothes; shopping online; returning items; finding deals; comparing prices,,,,,,,,,,,,,,,,,,
Autonomy,Agency — control over your life and choices,Mobility,commuting; finding parking; getting gas; maintaining car; planning routes; using public transit; booking travel; navigating airports; packing,,,,,,,,,,,,,,,,,,
Autonomy,Agency — control over your life and choices,Digital,choosing apps; canceling subscriptions; organizing files; managing passwords; securing accounts; setting up devices; backing up data,,,,,,,,,,,,,,,,,,
Autonomy,Agency — control over your life and choices,Admin,filling out forms; filing taxes; navigating university systems; managing insurance; tracking deadlines; dealing with customer service,,,,,,,,,,,,,,,,,,
Competence; Relatedness,Becoming; Connection,Learning,attending class; taking notes; doing homework; preparing for exams; working on projects; finding resources; meeting with professors,,,,,,,,,,,,,,,,,,
Competence; Autonomy,Becoming; Agency,Interests,practicing; learning new things; creating; competing; attending events; finding communities; buying gear,Me,I love playing guitar but I've been stuck at the same level for months and don't know what to practice next,I'm trying to improve my guitar skills so I can play the songs I love,We help intermediate musicians break through plateaus by generating personalized practice plans based on their goals,,,,,,,,,,,,,,
Relatedness,Connection to others,Friends,making plans; keeping in touch; meeting new people; organizing events; resolving conflicts; celebrating milestones,My friend group (6 people),We all say we should hang out more but nobody ever organizes it and months go by,I'm trying to regularly see my close friends so we don't drift apart,We help friend groups stay connected by making it easy to propose and coordinate recurring hangouts,,,,,,,,,,,,,,
Relatedness,Connection to others,Dating,meeting people; using dating apps; going on dates; planning dates; communicating needs; maintaining relationships,,,,,,,,,,,,,,,,,,
Relatedness,Connection to others,Family,calling home; coordinating visits; sharing updates; supporting each other; celebrating together; navigating family dynamics,,,,,,,,,,,,,,,,,,
Autonomy; Competence; Relatedness,Agency; Becoming; Connection,Career,researching companies; applying to jobs; writing resumes; preparing for interviews; building network; negotiating offers; following up,,,,,,,,,,,,,,,,,,
Autonomy; Competence; Relatedness,Agency; Becoming; Connection,Work — Discovering,researching customers; identifying opportunities; analyzing markets; gathering insights,,,,,,,,,,,,,,,,,,
Autonomy; Competence; Relatedness,Agency; Becoming; Connection,Work — Designing,defining solutions; prototyping; writing specs; prioritizing features,,,,,,,,,,,,,,,,,,
Autonomy; Competence; Relatedness,Agency; Becoming; Connection,Work — Producing,building; coding; manufacturing; testing; shipping,,,,,,,,,,,,,,,,,,
Autonomy; Competence; Relatedness,Agency; Becoming; Connection,Work — Acquiring,marketing; generating leads; selling; closing deals; pricing,,,,,,,,,,,,,,,,,,
Autonomy; Competence; Relatedness,Agency; Becoming; Connection,Work — Delivering,fulfilling orders; onboarding customers; implementing; training,,,,,,,,,,,,,,,,,,
Autonomy; Competence; Relatedness,Agency; Becoming; Connection,Work — Retaining,supporting customers; handling issues; renewing; reducing churn,,,,,,,,,,,,,,,,,,